collision_index,vehicle_reference,vehicle_type,age_of_driver,age_of_vehicle
C202600079,3,9,74,22
C202600080,1,9,76,13
C202600080,2,3,49,14
C202600081,1,9,69,23
C202600082,1,5,48,6
C202600082,2,9,-1,24
C202600083,1,9,65,23
C202600084,1,19,51,10
C202600084,2,19,24,24
C202600085,1,5,67,24
C202600086,1,1,44,21
C202600086,2,9,18,23
C202600087,1,9,18,10
C202600087,2,1,43,3
C202600088,1,9,59,16
C202600088,2,9,35,15
C202600089,1,9,81,15
C202600089,2,9,81,19
C202600090,1,9,20,14
C202600090,2,9,70,4
C202600090,3,9,34,8
C202600091,1,9,74,16
C202600092,1,3,78,14
C202600092,2,1,26,10
C202600092,3,9,68,7
C202600093,1,11,73,-1
C202600093,2,9,41,22
C202600094,1,9,76,2
C202600094,2,9,66,12
C202600095,1,9,64,5
C202600096,1,19,65,22
C202600097,1,5,-1,9
C202600097,2,5,59,3
C202600098,1,11,42,7
C202600098,2,9,26,20
C202600098,3,5,69,7
C202600098,4,9,47,-1
C202600099,1,19,44,9
C202600099,2,9,20,-1
C202600099,3,3,60,22
C202600099,4,11,-1,10
C202600100,1,3,34,13
C202600100,2,9,30,12
C202600100,3,5,59,-1
C202600100,4,9,39,3
C202600101,1,3,45,2
C202600101,2,9,27,9
C202600102,1,3,56,9
C202600102,2,9,75,8
C202600103,1,3,64,0
C202600103,2,3,59,3
C202600104,1,3,26,11
C202600104,2,9,56,-1
C202600105,1,9,32,3
C202600106,1,9,80,5
C202600107,1,9,41,3
C202600107,2,9,31,14
C202600108,1,19,-1,0
C202600108,2,9,75,-1
C202600109,1,11,41,-1
C202600109,2,9,74,24
C202600109,3,1,36,9
C202600110,1,9,59,6
C202600111,1,9,24,3
C202600112,1,9,34,3
C202600112,2,3,44,20
C202600112,3,9,75,3
C202600113,1,3,46,1
C202600113,2,3,64,2
C202600114,1,9,19,5
C202600115,1,5,82,18
C202600116,1,11,77,23
C202600117,1,5,57,22
C202600117,2,9,62,1
C202600118,1,19,34,-1
C202600118,2,9,42,13
C202600118,3,3,48,10
C202600119,1,9,52,0
C202600120,1,9,71,12
C202600120,2,9,60,11
C202600121,1,9,47,22
C202600122,1,3,39,18
C202600122,2,9,42,11
C202600123,1,9,27,20
C202600124,1,9,40,15
C202600125,1,3,79,12
C202600125,2,9,22,9
C202600126,1,9,36,19
C202600126,2,19,17,15
C202600126,3,9,76,22
C202600126,4,19,20,2
C202600127,1,9,43,-1
C202600127,2,5,52,20
C202600128,1,9,51,7
C202600128,2,9,72,19
C202600129,1,9,56,13
C202600129,2,5,73,15
C202600130,1,9,42,5
C202600130,2,9,22,0
C202600131,1,9,80,18
C202600131,2,11,22,21
C202600132,1,9,72,10
C202600132,2,9,45,14
C202600133,1,9,-1,15
C202600133,2,9,31,6
C202600134,1,9,77,16
C202600134,2,9,28,18
C202600135,1,9,72,0
C202600135,2,3,30,17
C202600136,1,9,44,24
C202600137,1,9,44,22
C202600137,2,9,72,17
C202600137,3,19,65,14
C202600138,1,5,40,2
C202600138,2,9,69,10
C202600139,1,9,20,8
C202600139,2,9,60,2
C202600140,1,11,75,7
C202600141,1,9,77,24
C202600142,1,11,30,17
C202600143,1,19,22,15
C202600144,1,19,79,20
C202600144,2,9,25,-1
C202600145,1,9,19,7
C202600146,1,9,66,8
C202600146,2,1,44,6
C202600146,3,19,29,19
C202600146,4,9,20,6
C202600147,1,3,74,2
C202600147,2,9,64,24
C202600147,3,9,-1,21
C202600148,1,9,74,2
C202600148,2,3,43,-1
C202600149,1,5,28,23
C202600149,2,9,53,5
C202600150,1,9,53,15
C202600151,1,9,40,6
C202600151,2,3,84,1
C202600151,3,11,33,17
C202600152,1,9,50,0
C202600153,1,9,71,24
C202600153,2,3,60,21
C202600153,3,9,74,20
C202600153,4,9,69,11
C202600154,1,11,22,22
C202600154,2,9,51,-1
C202600155,1,1,22,22
C202600155,2,9,47,19
C202600155,3,9,72,1
C202600156,1,3,71,13
C202600156,2,3,28,20
C202600157,1,9,19,12
C202600157,2,9,52,16
C202600157,3,11,42,18
C202600158,1,9,71,6
C202600158,2,9,48,-1
C202600159,1,5,66,20
C202600159,2,9,31,-1
C202600160,1,9,74,12
C202600161,1,3,35,10
C202600162,1,11,63,2
C202600162,2,1,29,2
C202600163,1,9,41,24
C202600164,1,9,17,21
C202600165,1,11,53,20
C202600165,2,9,19,7
C202600166,1,11,19,0
C202600166,2,11,50,-1
C202600167,1,9,46,18
C202600167,2,9,62,4
C202600168,1,9,26,10
C202600168,2,11,59,-1
C202600169,1,9,26,-1
C202600170,1,19,40,1
C202600170,2,3,75,4
C202600171,1,9,18,8
C202600171,2,9,37,9
C202600171,3,9,22,1
C202600172,1,9,73,2
C202600172,2,1,24,23
C202600173,1,11,-1,6
C202600173,2,3,46,15
C202600174,1,3,24,20
C202600174,2,9,66,15
C202600174,3,9,20,-1
C202600175,1,9,34,4
C202600176,1,9,32,13
C202600176,2,9,53,23
C202600177,1,11,54,13
C202600177,2,9,22,23
C202600178,1,5,24,7
C202600178,2,9,75,5
C202600178,3,11,43,1
C202600179,1,9,40,9
C202600180,1,3,84,18
C202600180,2,9,30,-1
C202600180,3,11,17,21
C202600181,1,11,51,14
C202600182,1,9,83,18
C202600182,2,9,33,18
C202600183,1,9,78,19
C202600184,1,19,31,20
C202600185,1,9,43,22
C202600185,2,9,57,1
C202600186,1,3,41,3
C202600186,2,19,80,24
C202600187,1,9,-1,23
C202600187,2,9,53,4
C202600188,1,9,49,24
C202600188,2,19,20,22
C202600188,3,3,36,22
C202600189,1,9,48,5
C202600190,1,3,66,3
C202600190,2,19,76,12
C202600190,3,5,63,24
C202600191,1,9,38,9
C202600191,2,11,36,11
C202600192,1,9,83,6
C202600192,2,9,84,17
C202600193,1,9,67,10
C202600193,2,1,17,23
C202600194,1,9,36,15
C202600194,2,9,60,20
C202600195,1,9,84,1
C202600195,2,3,69,20
C202600196,1,19,82,2
C202600196,2,9,74,0
C202600197,1,9,64,2
C202600197,2,3,39,24
C202600198,1,9,26,1
C202600198,2,9,21,15
C202600199,1,9,64,6
C202600200,1,9,59,5
C202600200,2,1,37,1
C202600201,1,9,74,10
C202600202,1,1,43,16
C202600202,2,11,80,10
C202600203,1,9,-1,10
C202600203,2,5,-1,-1
C202600204,1,9,24,15
C202600204,2,9,30,10
C202600205,1,9,79,4
C202600205,2,9,80,19
C202600206,1,3,17,12
C202600207,1,9,81,17
C202600208,1,9,54,18
C202600209,1,9,19,8
C202600209,2,9,64,-1
C202600210,1,9,62,6
C202600210,2,3,60,17
C202600211,1,9,29,13
C202600211,2,9,36,1
C202600212,1,3,61,13
C202600212,2,5,40,10
C202600212,3,9,50,24
C202600212,4,5,75,8
C202600213,1,19,66,7
C202600214,1,9,56,13
C202600215,1,9,45,24
C202600215,2,9,26,22
C202600215,3,9,74,0
C202600216,1,9,35,6
C202600216,2,9,61,6
C202600217,1,9,74,6
C202600217,2,9,59,0
C202600217,3,9,48,7
C202600218,1,9,50,2
C202600218,2,11,33,5
C202600219,1,9,27,-1
C202600220,1,9,39,10
C202600221,1,1,42,2
C202600221,2,9,38,16
C202600222,1,9,50,22
C202600222,2,11,51,-1
C202600223,1,1,64,13
C202600224,1,9,21,18
C202600224,2,19,32,-1
C202600225,1,3,63,0
C202600225,2,5,29,18
C202600226,1,1,47,14
C202600226,2,9,28,12
C202600227,1,11,55,-1
C202600228,1,5,62,24
C202600228,2,11,50,12
C202600229,1,9,20,23
C202600229,2,11,19,21
C202600229,3,9,42,10
C202600230,1,9,20,24
C202600231,1,19,19,21
C202600231,2,11,45,17
C202600232,1,9,73,24
C202600232,2,9,64,24
C202600232,3,9,25,23
C202600233,1,5,73,23
C202600234,1,3,29,8
C202600235,1,9,58,6
C202600235,2,11,80,7
C202600236,1,19,77,16
C202600236,2,3,76,2
C202600236,3,9,17,0
C202600237,1,9,67,20
C202600238,1,19,39,16
C202600238,2,5,53,7
C202600239,1,9,49,10
C202600240,1,1,36,24
C202600240,2,9,59,7
C202600241,1,5,50,1
C202600241,2,11,17,23
C202600241,3,5,83,1
C202600242,1,9,70,-1
C202600242,2,9,71,21
C202600243,1,1,59,18
C202600243,2,1,83,13
C202600244,1,5,66,10
C202600244,2,9,82,3
C202600244,3,9,80,8
C202600245,1,9,32,6
C202600246,1,9,58,7
C202600247,1,11,76,16
C202600248,1,1,70,23
C202600249,1,9,53,20
C202600249,2,9,53,0
C202600250,1,19,35,14
C202600251,1,19,34,8
C202600252,1,19,53,6
C202600253,1,3,39,15
C202600253,2,9,28,10
C202600254,1,9,72,22
C202600254,2,19,75,2
C202600255,1,9,36,14
C202600255,2,9,39,18
C202600256,1,9,79,13
C202600256,2,9,26,24
C202600257,1,1,76,3
C202600257,2,9,83,10
C202600258,1,9,33,-1
C202600259,1,9,58,18
C202600259,2,3,32,19
C202600260,1,11,-1,12
C202600260,2,9,48,13
C202600260,3,9,49,13
C202600261,1,9,25,11
C202600261,2,9,38,15
C202600261,3,11,81,14
C202600262,1,11,36,10
C202600263,1,9,40,18
C202600263,2,9,41,21
C202600264,1,9,40,9
C202600264,2,9,43,23
C202600265,1,9,20,4
C202600265,2,11,80,-1
C202600266,1,11,79,5
C202600267,1,11,59,6
C202600267,2,9,62,5
C202600268,1,9,73,5
C202600268,2,19,17,2
C202600269,1,9,17,10
C202600269,2,1,82,5
C202600270,1,9,28,2
C202600270,2,3,47,8
C202600271,1,3,37,18
C202600272,1,11,34,20
C202600272,2,9,73,12
C202600273,1,9,31,0
C202600274,1,9,68,21
C202600274,2,19,45,-1
C202600275,1,9,32,9
C202600276,1,9,-1,0
C202600276,2,9,55,11
C202600277,1,1,48,3
C202600278,1,9,23,10
C202600278,2,9,24,13
C202600279,1,9,31,23
C202600279,2,9,72,1
C202600280,1,9,59,20
C202600281,1,9,23,7
C202600281,2,9,41,1
C202600282,1,11,63,7
C202600283,1,9,61,15
C202600283,2,11,25,5
C202600284,1,11,57,16
C202600285,1,5,-1,-1
C202600285,2,9,51,4
C202600286,1,9,32,17
C202600286,2,9,25,1
C202600287,1,3,31,23
C202600287,2,9,84,17
C202600288,1,9,34,23
C202600288,2,9,83,8
C202600289,1,9,47,20
C202600289,2,9,50,-1
C202600290,1,5,34,23
C202600290,2,9,82,8
C202600290,3,19,33,9
C202600291,1,1,49,22
C202600291,2,11,68,7
C202600292,1,3,82,5
C202600292,2,5,56,18
C202600292,3,9,39,14
C202600293,1,9,77,6
C202600294,1,11,63,8
C202600294,2,19,42,24
C202600295,1,3,37,10
C202600295,2,19,52,11
C202600296,1,9,25,12
C202600297,1,11,50,16
C202600298,1,11,49,24
C202600299,1,9,70,11
C202600300,1,9,78,4
C202600301,1,19,20,17
C202600301,2,9,18,23
C202600302,1,9,63,10
C202600303,1,9,79,18
C202600303,2,5,27,6
C202600303,3,5,42,5
C202600303,4,9,76,9
C202600304,1,5,74,16
C202600304,2,9,53,11
C202600305,1,9,39,4
C202600305,2,1,23,5
C202600306,1,9,34,20
C202600306,2,19,76,20
C202600306,3,3,48,6
C202600306,4,5,68,24
C202600307,1,9,67,8
C202600307,2,9,71,3
C202600308,1,11,-1,21
C202600308,2,1,82,23
C202600308,3,9,68,12
C202600309,1,3,72,8
C202600310,1,19,33,2
C202600310,2,9,36,11
C202600310,3,19,40,18
C202600311,1,19,47,21
C202600312,1,9,22,10
C202600312,2,9,67,13
C202600313,1,9,68,13
C202600314,1,9,20,17
C202600315,1,5,29,15
C202600315,2,5,-1,11
C202600315,3,9,37,10
C202600315,4,9,43,21
C202600316,1,5,71,1
C202600316,2,11,-1,5
C202600317,1,9,45,2
C202600317,2,9,60,21
C202600318,1,19,64,11
C202600318,2,19,32,16
C202600319,1,9,28,4
C202600320,1,5,32,0
C202600320,2,9,56,19
C202600320,3,9,17,5
C202600321,1,19,18,12
C202600321,2,9,48,-1
C202600321,3,3,42,1
C202600322,1,5,62,0
C202600322,2,3,69,23
C202600323,1,9,59,19
C202600324,1,3,24,14
C202600324,2,9,27,17
C202600325,1,9,27,18
C202600326,1,19,45,4
C202600326,2,5,-1,0
C202600326,3,9,-1,22
C202600327,1,3,49,15
C202600327,2,9,73,24
C202600328,1,5,61,2
C202600328,2,19,71,23
C202600328,3,9,77,24
C202600328,4,9,45,18
C202600329,1,9,24,12
C202600329,2,5,47,1
C202600329,3,5,47,19
C202600329,4,11,79,18
C202600330,1,9,67,10
C202600331,1,9,33,2
C202600331,2,3,79,14
C202600332,1,9,40,0
C202600332,2,11,74,18
C202600333,1,9,43,15
C202600333,2,19,70,6
C202600333,3,11,48,6
C202600333,4,11,19,6
C202600334,1,9,-1,6
C202600334,2,9,21,19
C202600335,1,9,57,23
C202600335,2,9,76,10
C202600336,1,9,46,23
C202600337,1,5,51,18
C202600337,2,9,69,23
C202600338,1,9,-1,0
C202600338,2,1,75,18
C202600339,1,9,39,18
C202600339,2,9,63,11
C202600340,1,9,43,11
C202600340,2,3,52,9
C202600340,3,11,-1,11
C202600341,1,9,27,0
C202600342,1,9,39,17
C202600343,1,9,24,1
C202600343,2,9,63,18
C202600344,1,9,83,17
C202600345,1,9,34,19
C202600345,2,9,63,11
C202600346,1,5,47,1
C202600347,1,9,44,3
C202600347,2,11,75,0
C202600347,3,9,28,12
C202600347,4,9,52,8
C202600348,1,11,70,16
C202600348,2,3,52,0
C202600349,1,9,74,2
C202600349,2,9,44,10
C202600349,3,3,-1,24
C202600349,4,9,81,7
C202600350,1,19,69,2
C202600351,1,9,50,22
C202600352,1,9,81,9
C202600352,2,9,73,23
C202600353,1,9,68,1
C202600353,2,3,49,19
C202600354,1,9,58,19
C202600355,1,19,47,14
C202600355,2,9,50,4
C202600356,1,5,41,3
C202600357,1,9,31,-1
C202600357,2,9,44,10
C202600357,3,3,-1,13
C202600358,1,3,30,8
C202600358,2,3,40,5
C202600358,3,3,54,0
C202600359,1,9,42,12
C202600359,2,5,32,14
C202600360,1,9,37,2
C202600360,2,11,35,8
C202600361,1,19,52,15
C202600361,2,9,30,12
C202600362,1,9,53,19
C202600362,2,9,41,-1
C202600363,1,5,27,16
C202600364,1,11,55,22
C202600364,2,9,46,22
C202600365,1,9,54,0
C202600366,1,11,37,0
C202600367,1,11,44,22
C202600368,1,9,26,11
C202600368,2,9,80,9
C202600369,1,9,53,16
C202600369,2,3,41,-1
C202600370,1,9,40,13
C202600370,2,9,34,23
C202600370,3,5,64,16
C202600371,1,9,34,3
C202600371,2,3,36,4
C202600372,1,9,32,8
C202600373,1,9,21,23
C202600373,2,1,61,24
C202600374,1,9,62,13
C202600374,2,11,37,-1
C202600375,1,11,82,10
C202600375,2,9,55,2
C202600376,1,3,79,-1
C202600376,2,19,43,20
C202600377,1,19,54,24
C202600377,2,9,48,18
C202600378,1,9,22,18
C202600378,2,9,77,17
C202600379,1,9,82,20
C202600379,2,9,63,2
C202600380,1,5,36,15
C202600381,1,9,37,3
C202600382,1,19,73,23
C202600382,2,9,60,-1
C202600383,1,11,37,21
C202600383,2,19,58,3
C202600383,3,9,75,15
C202600384,1,3,67,21
C202600385,1,9,74,0
C202600386,1,9,41,14
C202600386,2,11,74,20
C202600387,1,19,55,0
C202600388,1,9,67,19
C202600388,2,5,35,15
C202600389,1,19,76,-1
C202600389,2,9,37,23
C202600390,1,9,46,22
C202600391,1,3,59,18
C202600391,2,11,59,19
C202600392,1,9,18,5
C202600392,2,3,56,7
C202600392,3,11,73,-1
C202600392,4,19,42,0
C202600393,1,11,71,24
C202600393,2,9,25,23
C202600394,1,9,43,9
C202600394,2,9,51,12
C202600395,1,9,53,20
C202600395,2,9,41,3
C202600396,1,5,22,4
C202600396,2,9,40,18
C202600396,3,9,-1,11
C202600397,1,9,31,4
C202600398,1,9,52,7
C202600399,1,19,68,16
C202600399,2,1,54,4
C202600400,1,9,31,2
C202600400,2,9,77,21
C202600400,3,19,20,15
C202600401,1,9,78,1
C202600402,1,19,60,7
C202600403,1,1,46,15
C202600403,2,5,46,24
C202600404,1,1,76,19
C202600405,1,9,40,22
C202600405,2,9,78,10
C202600405,3,9,35,10
C202600406,1,9,21,22
C202600406,2,11,73,12
C202600406,3,1,59,21
C202600407,1,9,58,-1
C202600407,2,9,36,6
C202600408,1,11,62,20
C202600409,1,9,22,8
C202600409,2,9,52,9
C202600410,1,9,46,21
C202600410,2,1,77,-1
C202600411,1,9,68,4
C202600411,2,5,27,12
C202600412,1,5,36,19
C202600412,2,5,80,11
C202600413,1,3,35,13
C202600414,1,9,81,5
C202600414,2,9,26,5
C202600415,1,9,27,10
C202600415,2,19,65,13
C202600416,1,9,79,13
C202600417,1,3,56,-1
C202600417,2,11,35,16
C202600418,1,9,84,9
C202600419,1,9,29,17
C202600419,2,9,61,17
C202600420,1,19,54,-1
C202600421,1,9,56,17
C202600421,2,3,45,10
C202600421,3,19,17,18
C202600422,1,5,64,15
C202600423,1,9,81,1
C202600423,2,9,48,6
C202600424,1,19,-1,13
C202600424,2,9,65,4
C202600424,3,9,-1,13
C202600425,1,9,79,-1
C202600425,2,9,28,24
C202600426,1,19,39,-1
C202600426,2,9,20,2
C202600427,1,9,33,18
C202600427,2,11,48,20
C202600428,1,19,49,1
C202600428,2,9,29,19
C202600428,3,9,57,19
C202600429,1,9,25,6
C202600430,1,5,69,4
C202600430,2,9,28,16
C202600430,3,9,36,1
C202600431,1,9,74,11
C202600431,2,9,52,20
C202600432,1,9,65,11
C202600432,2,9,40,4
C202600433,1,9,71,7
C202600433,2,11,28,1
C202600434,1,19,34,9
C202600434,2,3,27,1
C202600435,1,9,34,14
C202600435,2,9,46,7
C202600435,3,9,29,11
C202600436,1,3,21,4
C202600437,1,5,41,17
C202600438,1,9,28,12
C202600439,1,9,30,15
C202600439,2,11,47,15
C202600440,1,9,41,23
C202600440,2,9,25,5
C202600441,1,9,61,6
C202600441,2,9,45,11
C202600441,3,11,49,11
C202600442,1,9,18,16
C202600442,2,9,20,8
C202600443,1,9,67,6
C202600444,1,11,19,12
C202600444,2,11,47,10
C202600445,1,9,50,11
C202600445,2,9,23,15
C202600446,1,9,79,8
C202600446,2,9,51,-1
C202600447,1,19,68,15
C202600447,2,9,55,17
C202600448,1,9,51,20
C202600448,2,11,27,23
C202600448,3,5,68,23
C202600448,4,9,65,3
C202600449,1,11,68,5
C202600449,2,9,68,21
C202600450,1,5,72,1
C202600450,2,19,77,-1
C202600451,1,19,78,5
C202600451,2,19,57,8
C202600452,1,9,63,14
C202600452,2,9,51,3
C202600452,3,9,46,2
C202600453,1,9,47,1
C202600453,2,9,-1,5
C202600454,1,9,44,18
C202600454,2,9,39,11
C202600455,1,9,61,5
C202600455,2,9,42,19
C202600456,1,19,84,7
C202600456,2,9,81,4
C202600457,1,1,55,16
C202600458,1,9,63,10
C202600459,1,3,61,1
C202600459,2,9,50,3
C202600460,1,9,52,1
C202600460,2,9,20,1
C202600461,1,5,51,20
C202600461,2,9,79,23
C202600461,3,9,64,4
C202600461,4,9,-1,13
C202600462,1,9,71,2
C202600463,1,9,67,17
C202600463,2,9,59,22
C202600464,1,9,20,15
C202600465,1,9,59,11
C202600465,2,19,68,6
C202600466,1,9,62,20
C202600466,2,9,39,15
C202600467,1,1,32,16
C202600467,2,19,64,4
C202600468,1,9,57,10
C202600469,1,3,79,1
C202600469,2,11,79,3
C202600470,1,9,56,18
C202600470,2,9,49,9
C202600471,1,5,52,14
C202600471,2,9,50,21
C202600472,1,9,-1,23
C202600472,2,3,84,24
C202600472,3,3,18,8
C202600473,1,9,36,2
C202600474,1,19,48,14
C202600474,2,9,23,0
C202600475,1,3,40,19
C202600476,1,5,66,2
C202600477,1,9,73,8
C202600477,2,1,49,23
C202600477,3,9,47,11
C202600478,1,11,47,19
C202600479,1,9,47,7
C202600479,2,9,24,19
C202600479,3,11,48,5
C202600480,1,9,59,10
C202600480,2,9,20,4
C202600480,3,11,69,-1
C202600481,1,3,70,2
C202600482,1,11,53,15
C202600482,2,9,20,3
C202600482,3,3,18,9
C202600483,1,9,75,21
C202600483,2,9,20,2
C202600484,1,9,71,7
C202600484,2,19,24,18
C202600485,1,5,26,14
C202600485,2,11,25,23
C202600485,3,9,51,-1
C202600486,1,9,78,23
C202600486,2,9,80,-1
C202600486,3,9,52,6
C202600486,4,9,71,1
C202600487,1,9,28,12
C202600487,2,9,61,16
C202600487,3,5,35,0
C202600488,1,9,31,11
C202600489,1,9,49,8
C202600490,1,9,25,22
C202600490,2,9,68,16
C202600491,1,9,67,23
C202600492,1,9,59,-1
C202600492,2,19,82,24
C202600493,1,3,30,15
C202600493,2,9,63,17
C202600494,1,9,33,9
C202600494,2,9,83,11
C202600495,1,3,65,24
C202600495,2,19,83,20
C202600496,1,11,63,-1
C202600496,2,9,50,11
C202600497,1,5,48,9
C202600498,1,9,77,16
C202600498,2,3,30,14
C202600499,1,5,75,12
C202600499,2,9,37,20
C202600500,1,5,67,17
C202600500,2,9,69,9
C202600500,3,9,42,18
C202600501,1,11,19,15
C202600502,1,9,55,5
C202600502,2,1,25,14
C202600503,1,11,50,13
C202600503,2,9,24,2
C202600504,1,9,69,13
C202600505,1,9,61,9
C202600505,2,9,46,21
C202600506,1,9,68,18
C202600506,2,9,49,19
C202600506,3,9,46,2
C202600507,1,9,30,0
C202600508,1,9,55,3
C202600509,1,9,44,22
C202600509,2,9,17,7
C202600510,1,5,76,9
C202600510,2,1,17,15
C202600511,1,9,35,11
C202600511,2,3,78,23
C202600512,1,9,19,20
C202600512,2,9,56,2
C202600512,3,9,34,9
C202600513,1,19,30,2
C202600513,2,9,-1,6
C202600513,3,11,24,8
C202600514,1,9,74,3
C202600514,2,1,43,9
C202600515,1,9,26,21
C202600516,1,9,67,11
C202600516,2,5,23,11
C202600517,1,9,50,3
C202600518,1,9,54,11
C202600518,2,11,52,-1
C202600519,1,5,23,9
C202600519,2,3,19,8
C202600520,1,9,45,2
C202600520,2,9,-1,6
C202600521,1,9,70,-1
C202600521,2,11,25,4
C202600522,1,9,61,2
C202600522,2,9,51,10
C202600522,3,1,75,5
C202600522,4,9,42,24
C202600523,1,11,63,0
C202600523,2,9,67,2
C202600524,1,5,53,9
C202600524,2,9,43,11
C202600525,1,5,53,1
C202600525,2,11,45,13
C202600526,1,9,72,18
C202600526,2,9,51,0
C202600527,1,11,74,17
C202600528,1,9,43,3
C202600528,2,9,42,3
C202600529,1,9,64,3
C202600529,2,3,39,21
C202600529,3,9,23,0
C202600530,1,9,82,22
C202600530,2,9,29,17
C202600531,1,9,74,22
C202600531,2,9,51,15
C202600532,1,9,61,6
C202600532,2,19,80,2
C202600533,1,5,28,16
C202600533,2,9,21,22
C202600534,1,3,18,12
C202600535,1,9,42,2
C202600535,2,11,71,22
C202600536,1,3,31,-1
C202600536,2,3,57,0
C202600537,1,1,18,8
C202600537,2,9,78,6
C202600538,1,9,59,1
C202600538,2,19,40,4
C202600539,1,9,38,23
C202600539,2,5,57,4
C202600540,1,11,65,19
C202600540,2,11,25,6
C202600541,1,3,79,24
C202600541,2,11,76,16
C202600542,1,19,80,19
C202600542,2,9,71,2
C202600543,1,9,79,15
C202600543,2,9,54,11
C202600544,1,9,37,-1
C202600544,2,3,53,9
C202600544,3,9,41,18
C202600545,1,9,56,5
C202600545,2,9,77,4
C202600545,3,9,49,13
C202600545,4,3,52,18
C202600546,1,9,53,5
C202600546,2,9,31,2
C202600547,1,9,71,11
C202600548,1,9,58,21
C202600548,2,9,58,17
C202600549,1,3,58,5
C202600549,2,5,43,1
C202600550,1,11,39,22
C202600550,2,3,68,4
C202600551,1,9,17,1
C202600552,1,1,70,19
C202600552,2,5,81,17
C202600553,1,9,19,12
C202600553,2,11,71,16
C202600554,1,9,81,2
C202600554,2,11,53,13
C202600555,1,11,68,5
C202600555,2,9,63,11
C202600556,1,5,38,14
C202600557,1,3,19,0
C202600557,2,9,72,20
C202600558,1,9,21,6
