collision_index,longitude,latitude,date,time,road_type,speed_limit,junction_detail,junction_control,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,urban_or_rural_area,area,num_casualties,severity_score
C202600035,-0.75684,52.678,01/06/2026,00:08,6,60,6,0,0,5,-1,2,0,2,East Midlands,2,8
C202600036,-1.01381,51.26073,01/06/2026,00:08,6,30,3,0,1,5,1,1,1,2,South East,3,6
C202600037,-3.51765,50.84161,01/06/2026,00:08,6,20,5,2,0,1,1,1,0,1,South West,1,3
C202600038,-0.68773,51.10481,01/06/2026,00:08,6,30,6,2,0,1,1,1,0,2,South East,1,6
C202600039,-3.42031,50.75933,01/06/2026,00:09,7,50,0,4,-1,1,1,1,0,1,South West,1,6
C202600040,-1.22165,53.56853,01/06/2026,00:09,2,40,3,0,0,1,1,2,0,1,Yorkshire,1,6
C202600041,-1.28733,52.37934,01/06/2026,00:09,6,40,3,0,-1,7,1,2,0,1,West Midlands,2,8
C202600042,-0.2791,51.4074,01/06/2026,00:09,3,30,0,1,0,5,1,1,0,1,London,2,6
C202600043,-1.23096,53.20589,01/06/2026,00:10,6,70,0,0,0,1,1,2,0,1,East Midlands,2,6
C202600044,-3.92122,51.0589,01/06/2026,00:10,7,40,3,4,0,1,2,1,0,1,South West,1,5
C202600045,-2.39725,53.28545,01/06/2026,00:10,3,40,2,0,0,7,1,1,0,1,North West,3,7
C202600046,-1.84364,53.58867,01/06/2026,00:10,6,30,5,1,0,1,8,1,0,2,Yorkshire,1,4
C202600047,-0.09706,51.56926,01/06/2026,00:12,6,50,3,4,1,1,2,1,0,1,London,1,7
C202600048,-1.77941,52.4558,01/06/2026,00:12,3,50,3,2,0,1,1,1,0,2,West Midlands,1,6
C202600049,-1.55339,52.79316,01/06/2026,00:12,2,20,3,-1,1,5,1,1,0,2,West Midlands,1,4
C202600050,-3.19349,51.21305,01/06/2026,00:12,3,40,1,4,0,1,7,1,0,1,Wales,1,4
C202600051,-1.27671,53.03612,01/06/2026,00:13,6,40,1,4,0,1,1,3,0,2,East Midlands,1,6
C202600052,-0.91642,50.88406,01/06/2026,00:14,2,30,5,1,5,1,1,1,0,1,South East,1,5
C202600053,-0.49449,51.3596,01/06/2026,00:15,7,30,3,4,0,1,1,1,0,1,South East,1,4
C202600054,-1.98974,52.53399,01/06/2026,00:15,6,30,1,0,0,1,1,2,0,1,West Midlands,1,5
C202600055,-2.58543,53.67958,01/06/2026,00:15,9,30,2,4,-1,1,1,2,0,2,North West,1,6
C202600056,-3.33228,50.89151,01/06/2026,00:15,9,60,3,0,-1,1,1,1,0,2,South West,1,7
C202600057,-0.81291,53.10091,01/06/2026,00:16,6,60,3,-1,0,5,2,1,0,1,East Midlands,1,7
C202600058,-2.29974,53.52522,01/06/2026,00:16,1,70,0,0,0,1,1,2,0,2,North West,1,8
C202600059,-3.89593,50.90579,01/06/2026,00:17,2,30,3,-1,5,1,6,1,0,2,South West,1,7
C202600060,-3.46335,51.80769,01/06/2026,00:17,6,60,0,4,5,5,1,2,0,1,Wales,1,6
C202600061,-0.65712,51.49873,01/06/2026,00:18,3,30,3,4,0,1,5,1,0,1,South East,1,7
C202600062,-3.03069,51.81507,01/06/2026,00:18,6,30,0,-1,0,1,2,1,0,1,Wales,1,5
C202600063,-1.47873,53.9582,01/06/2026,00:18,6,30,6,2,5,1,1,1,0,1,Yorkshire,1,2
C202600064,-2.84091,51.42726,01/06/2026,00:18,6,30,0,2,1,1,1,2,0,1,Wales,1,5
C202600065,-1.15009,53.60269,01/06/2026,00:18,3,30,-1,-1,0,1,1,-1,0,2,Yorkshire,3,6
C202600066,-1.91965,52.41983,01/06/2026,00:18,7,60,3,-1,-1,5,1,2,0,2,West Midlands,3,9
C202600067,-2.55327,53.22422,01/06/2026,00:18,6,30,6,0,5,1,2,1,0,2,North West,2,7
C202600068,-0.46741,51.03549,01/06/2026,00:19,6,70,5,0,0,5,1,2,0,1,South East,1,6
C202600069,-0.92433,52.97723,01/06/2026,00:19,6,30,-1,4,0,5,-1,1,0,2,East Midlands,2,8
C202600070,-2.16068,52.46149,01/06/2026,00:19,9,70,3,4,1,7,1,1,0,1,West Midlands,1,10
C202600071,-3.5163,51.50053,01/06/2026,00:19,7,60,6,4,1,1,1,1,0,1,Wales,1,7
C202600072,-2.0083,53.86253,01/06/2026,00:19,3,30,0,4,0,5,1,1,0,2,Yorkshire,1,7
C202600073,-2.60412,53.83306,01/06/2026,00:19,6,30,0,4,1,5,1,1,0,1,North West,1,6
C202600074,-2.75436,53.43259,01/06/2026,00:20,6,60,-1,2,1,4,1,1,0,1,North West,2,9
C202600075,-1.32772,52.55736,01/06/2026,00:20,7,30,-1,1,0,5,1,2,0,2,East Midlands,1,9
C202600076,-1.55012,53.02889,01/06/2026,00:21,6,30,5,0,0,1,1,2,0,2,East Midlands,1,6
C202600077,-3.19606,51.61334,01/06/2026,00:21,1,50,5,1,0,1,1,1,1,1,Wales,1,3
C202600078,-0.52348,51.66935,01/06/2026,00:21,6,30,0,2,0,1,1,1,7,1,London,1,4
C202600079,-3.8355,51.5062,01/06/2026,00:21,6,30,3,0,0,1,1,1,0,2,South West,2,8
C202600080,-1.24544,52.60943,01/06/2026,00:21,3,40,2,4,0,1,6,2,0,1,East Midlands,1,5
C202600081,-1.49348,54.77359,01/06/2026,00:21,6,70,3,1,0,1,8,1,0,1,North East,1,4
C202600082,-1.14511,53.01552,01/06/2026,00:21,1,40,2,-1,1,5,1,1,0,1,East Midlands,2,7
C202600083,-3.35659,51.04052,01/06/2026,00:22,6,30,3,2,5,1,1,9,0,1,South West,1,2
C202600084,-0.15111,51.68101,01/06/2026,00:23,6,20,6,0,1,1,1,3,0,1,London,1,4
C202600085,-3.643,51.27928,01/06/2026,00:23,6,40,-1,2,0,1,1,2,0,1,South West,3,7
C202600086,-0.21827,51.34223,01/06/2026,00:23,1,30,6,4,5,5,2,1,0,1,London,2,7
C202600087,-1.84558,55.20047,01/06/2026,00:24,6,60,1,4,0,1,1,1,0,2,North East,1,7
C202600088,-1.14724,52.98411,01/06/2026,00:24,6,70,0,4,5,4,1,2,2,2,East Midlands,1,7
C202600089,-3.23239,51.28639,01/06/2026,00:25,6,30,-1,4,-1,1,-1,2,0,1,South West,1,3
C202600090,-1.7161,52.34667,01/06/2026,00:25,7,40,-1,4,0,1,1,-1,0,1,West Midlands,1,5
C202600091,-1.72077,52.47031,01/06/2026,00:25,6,30,3,4,5,6,1,1,0,1,West Midlands,1,4
C202600092,-1.80902,52.40282,01/06/2026,00:26,6,30,0,0,0,5,3,2,0,2,West Midlands,4,10
C202600093,-2.54675,53.3389,01/06/2026,00:26,2,60,1,0,0,1,1,2,0,2,North West,1,8
C202600094,-2.57976,53.81682,01/06/2026,00:26,3,30,3,2,0,5,6,1,0,2,North West,1,5
C202600095,-1.02961,51.33178,01/06/2026,00:26,9,40,6,4,0,1,1,2,6,2,South East,1,6
C202600096,-1.04113,51.5084,01/06/2026,00:26,6,40,0,0,-1,1,1,2,0,1,South East,1,5
C202600097,-1.85689,55.33017,01/06/2026,00:26,9,30,5,2,-1,1,1,1,0,1,North East,1,3
C202600098,-2.94815,51.45778,01/06/2026,00:26,6,30,3,-1,0,5,1,2,0,1,Wales,1,7
C202600099,-2.0661,52.69102,01/06/2026,00:27,3,30,3,2,1,1,1,1,0,1,West Midlands,1,5
C202600100,-1.74538,52.76589,01/06/2026,00:27,2,30,2,2,0,1,1,1,0,2,West Midlands,1,7
C202600101,-2.89594,53.70084,01/06/2026,00:27,6,30,1,2,0,5,1,1,0,1,North West,1,5
C202600102,-0.20569,51.89109,01/06/2026,00:28,6,40,3,2,5,1,2,1,0,1,London,1,4
C202600103,-1.40365,53.111,01/06/2026,00:28,6,30,5,2,0,1,1,9,0,2,East Midlands,2,5
C202600104,-0.9811,52.51911,01/06/2026,00:28,7,30,3,-1,0,5,1,1,1,2,East Midlands,5,10
C202600105,-0.65686,53.28719,01/06/2026,00:28,7,60,0,2,5,1,2,2,0,2,East Midlands,1,8
C202600106,-1.92954,54.4339,01/06/2026,00:29,6,30,2,4,0,5,1,1,0,2,North East,1,5
C202600107,-1.83158,52.70075,01/06/2026,00:29,6,30,0,4,0,1,1,2,0,1,West Midlands,1,4
C202600108,-1.76482,54.14864,01/06/2026,00:29,9,30,6,0,0,1,1,2,0,1,Yorkshire,1,4
C202600109,-1.725,52.19321,01/06/2026,00:29,6,30,5,4,1,5,1,1,0,1,West Midlands,1,5
C202600110,0.28991,51.1986,01/06/2026,00:30,3,20,3,-1,0,1,1,-1,1,2,London,1,5
C202600111,-1.74713,55.09845,01/06/2026,00:30,6,60,0,0,0,1,1,1,7,1,North East,1,5
C202600112,-1.29982,54.02379,01/06/2026,00:30,6,40,-1,1,5,1,1,2,0,1,Yorkshire,2,8
C202600113,-2.63256,53.55578,01/06/2026,00:30,6,30,3,2,1,5,1,2,0,1,North West,2,6
C202600114,-3.36687,51.18697,01/06/2026,00:31,2,30,0,0,1,1,2,1,0,2,Wales,1,6
C202600115,-1.25076,53.389,01/06/2026,00:31,6,30,0,2,0,5,1,2,0,1,East Midlands,1,5
C202600116,-1.2562,53.97803,01/06/2026,00:31,7,30,-1,2,0,6,1,1,0,1,Yorkshire,1,3
C202600117,-0.02304,51.18385,01/06/2026,00:31,9,50,5,0,5,1,1,1,0,2,London,1,8
C202600118,-0.14996,51.75759,01/06/2026,00:31,6,30,0,0,0,1,1,1,0,1,London,1,6
C202600119,-1.59288,53.17995,01/06/2026,00:31,1,30,3,0,5,1,2,1,0,1,Yorkshire,2,4
C202600120,-1.70703,53.96553,01/06/2026,00:32,6,50,3,1,5,1,8,2,0,2,Yorkshire,3,7
C202600121,-1.73357,52.03768,01/06/2026,00:32,6,40,3,2,5,1,1,3,0,2,West Midlands,1,8
C202600122,-1.06122,55.13279,01/06/2026,00:32,7,40,1,4,-1,1,1,1,0,1,North East,2,6
C202600123,-3.57112,51.01557,01/06/2026,00:32,6,20,-1,2,1,1,3,1,0,2,South West,1,4
C202600124,-1.8727,55.30825,01/06/2026,00:32,7,30,-1,2,5,1,1,1,6,1,North East,2,2
C202600125,-1.80108,52.56974,01/06/2026,00:32,7,60,0,4,5,1,1,2,0,1,West Midlands,1,4
C202600126,-3.39194,50.82094,01/06/2026,00:32,7,30,0,0,0,7,1,9,0,2,South West,4,10
C202600127,0.14698,51.22248,01/06/2026,00:32,6,70,3,0,0,1,1,9,0,1,London,1,5
C202600128,-1.05666,50.98058,01/06/2026,00:33,7,60,0,4,0,5,-1,1,7,1,South East,1,6
C202600129,-3.10308,51.75341,01/06/2026,00:33,9,20,3,1,0,1,1,1,0,1,Wales,1,4
C202600130,-1.36491,53.01854,01/06/2026,00:33,3,30,1,1,0,1,3,2,1,1,East Midlands,1,4
C202600131,-2.82661,51.65175,01/06/2026,00:33,6,30,5,4,0,1,8,1,0,1,Wales,2,4
C202600132,-0.95499,53.0482,01/06/2026,00:33,7,30,5,1,0,5,1,1,0,2,East Midlands,1,7
C202600133,-0.17656,51.26104,01/06/2026,00:33,6,70,0,0,0,7,2,1,0,1,London,3,10
C202600134,-3.83872,50.96893,01/06/2026,00:33,6,60,1,4,0,1,1,1,0,2,South West,4,10
C202600135,-0.66127,52.85891,01/06/2026,00:33,6,30,0,0,0,7,1,1,0,2,East Midlands,1,8
C202600136,-1.64585,54.51033,01/06/2026,00:33,6,30,5,4,0,4,-1,1,0,1,North East,1,6
C202600137,-1.37655,55.20065,01/06/2026,00:33,6,30,0,1,0,6,7,1,0,1,North East,3,6
C202600138,-2.09808,54.85901,01/06/2026,00:34,6,70,3,4,0,1,1,2,0,1,North East,1,5
C202600139,-3.49405,50.83918,01/06/2026,00:34,6,50,1,-1,0,1,1,1,0,2,South West,4,8
C202600140,-0.94957,53.1297,01/06/2026,00:34,6,30,-1,4,0,1,2,1,0,2,East Midlands,1,4
C202600141,-3.15084,53.44558,01/06/2026,00:34,6,30,-1,0,0,1,1,1,0,1,North West,3,6
C202600142,-2.52805,53.46743,01/06/2026,00:34,6,30,3,0,0,5,5,1,0,1,North West,1,4
C202600143,-0.82324,53.39584,01/06/2026,00:34,6,30,3,1,5,4,2,2,0,1,East Midlands,1,6
C202600144,-1.12433,51.3005,01/06/2026,00:34,6,30,5,4,0,1,1,2,0,2,South East,2,6
C202600145,-1.64139,55.23666,01/06/2026,00:34,6,40,3,2,0,5,1,4,0,2,North East,2,8
C202600146,-1.98733,51.8216,01/06/2026,00:34,6,40,3,0,1,7,1,2,0,2,West Midlands,1,9
C202600147,-3.33912,51.51474,01/06/2026,00:34,2,40,3,2,1,1,8,1,0,1,Wales,1,5
C202600148,-3.33839,51.62682,01/06/2026,00:36,6,50,3,1,0,1,3,2,0,1,Wales,1,6
C202600149,-1.77784,53.73834,01/06/2026,00:36,7,70,5,2,0,1,1,1,1,2,Yorkshire,1,8
C202600150,-3.37524,51.84328,01/06/2026,00:36,6,50,6,4,0,5,1,1,0,2,Wales,1,7
C202600151,-2.61571,53.24091,01/06/2026,00:36,7,20,6,1,0,5,1,2,0,2,North West,1,6
C202600152,-3.51007,51.06058,01/06/2026,00:36,6,40,3,0,0,1,1,1,0,1,South West,1,6
C202600153,-1.08973,51.15829,01/06/2026,00:36,6,60,0,4,0,5,3,1,0,1,South East,2,9
C202600154,-0.28301,51.18171,01/06/2026,00:36,6,30,6,4,1,1,3,2,0,2,London,1,8
C202600155,-3.15465,51.49446,01/06/2026,00:37,6,40,1,0,-1,1,-1,2,0,2,Wales,2,6
C202600156,-3.22624,50.82993,01/06/2026,00:37,3,30,6,4,0,1,1,1,0,1,South West,2,4
C202600157,0.17666,51.72618,01/06/2026,00:37,6,60,0,4,0,5,1,1,0,1,London,1,9
C202600158,-0.13708,51.4969,01/06/2026,00:37,3,30,0,1,1,1,1,1,0,2,London,1,5
C202600159,-3.50094,51.18804,01/06/2026,00:38,6,30,0,0,0,1,1,1,0,1,South West,1,4
C202600160,-3.5392,51.26691,01/06/2026,00:38,6,40,5,0,1,1,1,2,0,1,Wales,1,5
C202600161,-3.51093,50.84475,01/06/2026,00:38,9,20,3,0,1,1,1,1,0,1,South West,3,3
C202600162,-0.60871,51.00743,01/06/2026,00:38,6,30,3,2,0,1,1,2,0,2,London,1,6
C202600163,-1.70788,55.17427,01/06/2026,00:38,6,70,5,4,-1,1,1,1,0,1,North East,1,4
C202600164,-0.46183,51.04665,01/06/2026,00:38,6,60,6,4,0,1,-1,1,0,1,London,1,6
C202600165,-2.0932,52.84016,01/06/2026,00:38,6,40,3,-1,5,5,1,1,6,2,West Midlands,1,9
C202600166,-0.09579,51.52478,01/06/2026,00:39,6,30,5,4,0,4,2,2,0,1,London,1,7
C202600167,-0.0784,51.32727,01/06/2026,00:39,6,40,1,1,0,1,6,9,0,2,London,1,4
C202600168,-0.833,53.115,01/06/2026,00:39,7,30,1,4,0,1,1,1,0,1,East Midlands,1,5
C202600169,-0.07532,51.58523,01/06/2026,00:39,6,30,6,2,5,7,1,1,0,1,London,2,5
C202600170,-1.68051,53.34524,01/06/2026,00:39,2,30,6,4,0,1,2,2,2,2,Yorkshire,1,6
C202600171,-2.44017,53.6849,01/06/2026,00:39,6,30,6,2,0,6,3,1,0,1,North West,1,8
C202600172,-3.60351,51.99468,01/06/2026,00:39,1,50,3,4,-1,5,1,2,0,2,Wales,1,9
C202600173,-1.47822,52.04237,01/06/2026,00:39,6,20,0,-1,5,5,1,1,0,2,West Midlands,1,5
C202600174,-3.1422,53.54556,01/06/2026,00:39,7,30,5,2,0,1,1,1,0,1,North West,2,4
C202600175,-2.43552,53.83579,01/06/2026,00:40,3,30,3,0,0,7,1,2,0,1,North West,1,3
C202600176,-1.76548,52.41307,01/06/2026,00:40,6,30,0,2,1,1,1,1,0,1,West Midlands,1,3
C202600177,-2.74947,53.007,01/06/2026,00:40,1,70,2,0,0,1,1,2,0,2,North West,1,8
C202600178,-2.71526,53.5146,01/06/2026,00:40,6,30,0,4,0,5,1,9,0,1,North West,1,6
C202600179,-3.55849,51.70642,01/06/2026,00:41,9,60,3,1,5,1,1,2,0,1,Wales,1,5
C202600180,-3.50583,50.69334,01/06/2026,00:42,6,70,5,4,0,1,1,1,0,1,South West,1,6
C202600181,-3.04727,50.88161,01/06/2026,00:42,6,40,0,2,0,1,1,1,0,1,Wales,5,8
C202600182,-0.88963,50.72865,01/06/2026,00:43,6,50,0,0,0,1,8,-1,0,2,South East,1,6
C202600183,-0.64608,50.86025,01/06/2026,00:43,6,40,0,2,1,1,1,1,0,1,South East,2,4
C202600184,-3.36128,51.1406,01/06/2026,00:43,7,60,0,0,0,1,6,1,0,1,South West,1,5
C202600185,-3.37636,51.30545,01/06/2026,00:43,6,30,6,0,0,1,2,1,1,1,Wales,5,9
C202600186,-3.3194,50.83303,01/06/2026,00:43,6,20,0,2,0,5,3,1,0,1,South West,1,5
C202600187,-1.43833,53.91476,01/06/2026,00:43,6,70,3,4,0,1,1,2,0,2,Yorkshire,1,8
C202600188,-2.58496,52.96659,01/06/2026,00:44,6,60,6,4,5,4,1,-1,0,1,North West,1,8
C202600189,-2.41032,53.41618,01/06/2026,00:44,7,40,6,0,0,6,1,2,0,1,North West,3,7
C202600190,-0.05491,51.40796,01/06/2026,00:45,6,30,5,1,-1,1,1,1,6,1,London,1,4
C202600191,-2.78504,53.49195,01/06/2026,00:45,7,30,3,2,0,7,1,3,0,1,North West,1,4
C202600192,-0.29473,51.48399,01/06/2026,00:45,6,60,0,2,0,1,1,2,0,1,London,1,5
C202600193,-1.84699,52.33222,01/06/2026,00:45,2,20,3,4,5,1,2,9,0,1,West Midlands,1,3
C202600194,-1.27629,53.66486,01/06/2026,00:45,3,30,0,-1,0,1,1,1,0,1,Yorkshire,1,4
C202600195,-3.1383,51.48036,01/06/2026,00:45,6,30,3,4,5,1,1,1,0,1,Wales,2,6
C202600196,-3.28175,51.2961,01/06/2026,00:46,6,60,6,4,-1,1,5,1,0,1,Wales,1,5
C202600197,-3.52288,51.27965,01/06/2026,00:46,6,20,5,0,1,5,1,1,6,2,South West,1,7
C202600198,-1.90757,55.28273,01/06/2026,00:46,3,60,6,2,5,1,2,1,0,1,North East,3,7
C202600199,-2.31708,53.62241,01/06/2026,00:47,6,20,-1,2,0,1,1,1,0,1,North West,2,3
C202600200,-1.26008,54.9147,01/06/2026,00:47,3,30,0,4,0,5,3,1,0,2,North East,2,8
C202600201,-1.13685,53.7501,01/06/2026,00:47,6,30,5,0,0,1,1,1,0,1,Yorkshire,1,4
C202600202,-1.68224,52.70963,01/06/2026,00:47,6,30,0,4,5,1,1,2,0,2,West Midlands,1,4
C202600203,-0.92338,51.23426,01/06/2026,00:47,6,60,5,4,5,5,1,1,0,2,South East,1,7
C202600204,-1.58739,53.59508,01/06/2026,00:47,7,70,0,2,0,1,1,1,0,1,Yorkshire,2,7
C202600205,-2.70421,53.5705,01/06/2026,00:48,6,30,3,0,0,1,1,1,1,2,North West,2,7
C202600206,-0.64791,51.30627,01/06/2026,00:48,6,30,0,4,0,5,3,1,0,1,South East,3,8
C202600207,-0.81938,53.04928,01/06/2026,00:48,7,70,6,4,1,1,2,2,6,1,East Midlands,1,7
C202600208,-1.36735,50.95772,01/06/2026,00:49,3,30,0,1,0,1,1,2,0,1,South East,1,4
C202600209,-1.51361,54.70022,01/06/2026,00:50,7,30,0,-1,5,1,1,2,0,2,North East,1,6
C202600210,-1.09364,52.79472,01/06/2026,00:50,6,30,3,1,0,1,1,1,0,1,East Midlands,2,2
C202600211,-0.06606,51.26385,01/06/2026,00:50,6,40,-1,4,0,1,1,1,0,2,London,1,6
C202600212,-3.37025,50.57699,01/06/2026,00:50,7,20,-1,-1,1,5,2,2,0,1,South West,1,7
C202600213,-2.82295,53.68786,01/06/2026,00:50,6,40,0,0,0,6,2,1,0,1,North West,1,4
C202600214,-2.37189,53.39465,01/06/2026,00:51,6,20,0,2,0,1,1,9,0,1,North West,1,5
C202600215,-1.47603,53.73141,01/06/2026,00:51,6,30,3,1,0,7,1,1,0,1,Yorkshire,1,6
C202600216,-1.20687,52.92874,01/06/2026,00:51,3,30,6,0,0,5,1,1,0,1,East Midlands,1,6
C202600217,-2.60105,52.96091,01/06/2026,00:51,6,50,3,2,0,1,1,2,0,1,North West,4,9
C202600218,-3.29358,51.62279,01/06/2026,00:51,6,20,1,0,0,4,8,1,0,1,Wales,2,6
C202600219,-3.51359,50.83929,01/06/2026,00:51,2,60,6,-1,0,1,1,1,0,2,South West,3,7
C202600220,0.00912,51.24347,01/06/2026,00:51,6,40,3,1,0,5,2,1,0,1,London,1,4
C202600221,-2.92504,53.38212,01/06/2026,00:51,6,30,2,0,0,1,1,1,0,1,North West,1,6
C202600222,-2.69201,53.69181,01/06/2026,00:52,7,40,3,4,0,7,1,9,0,1,North West,1,5
C202600223,-1.27238,52.90189,01/06/2026,00:52,6,30,6,4,0,1,1,1,0,2,East Midlands,1,5
C202600224,-2.61487,53.82873,01/06/2026,00:52,6,20,5,-1,1,1,1,1,0,2,North West,1,4
C202600225,-1.68672,55.30373,01/06/2026,00:52,1,30,6,-1,0,5,1,2,0,2,North East,1,9
C202600226,-1.9945,54.19202,01/06/2026,00:52,7,70,0,2,0,1,1,3,2,2,Yorkshire,1,7
C202600227,-0.64094,51.327,01/06/2026,00:52,2,30,0,4,0,1,8,1,0,2,South East,3,6
C202600228,-1.61003,52.65637,01/06/2026,00:52,6,70,-1,-1,0,1,1,3,0,1,West Midlands,2,9
C202600229,-3.71014,50.4583,01/06/2026,00:52,3,40,6,0,0,1,1,2,0,1,South West,2,6
C202600230,-1.11572,52.84066,01/06/2026,00:53,9,30,3,4,0,1,1,1,0,2,East Midlands,1,3
C202600231,-0.30785,51.75685,01/06/2026,00:53,7,40,6,4,1,5,2,1,0,1,London,2,7
C202600232,-1.10696,53.07124,01/06/2026,00:53,6,50,0,-1,0,5,1,1,0,1,East Midlands,2,8
C202600233,-0.18931,50.96186,01/06/2026,00:53,3,70,1,4,0,4,1,1,0,2,London,2,9
C202600234,-2.91404,51.41416,01/06/2026,00:54,2,50,6,4,0,1,1,1,0,1,Wales,5,6
C202600235,-2.04442,52.34266,01/06/2026,00:54,1,30,6,4,0,1,1,1,0,1,West Midlands,1,5
C202600236,-0.99669,53.02745,01/06/2026,00:54,2,30,5,2,-1,1,1,1,0,1,East Midlands,1,4
C202600237,-3.71469,50.76904,01/06/2026,00:55,6,30,5,0,0,1,6,1,0,1,South West,1,2
C202600238,-3.31981,51.3883,01/06/2026,00:55,6,30,0,4,0,4,1,1,0,1,Wales,1,2
C202600239,-1.87894,52.48413,01/06/2026,00:55,6,70,2,4,1,5,1,1,0,2,West Midlands,2,9
C202600240,-3.59146,51.44036,01/06/2026,00:55,2,30,-1,0,0,5,1,1,0,1,Wales,2,7
C202600241,-2.826,53.56699,01/06/2026,00:55,2,30,0,0,0,1,2,1,2,1,North West,1,4
C202600242,-2.98041,51.18539,01/06/2026,00:55,6,30,0,2,5,1,1,1,0,1,Wales,2,5
C202600243,-1.72655,53.8289,01/06/2026,00:55,2,30,3,4,0,1,1,1,0,2,Yorkshire,1,4
C202600244,-1.95068,55.04973,01/06/2026,00:55,6,30,0,4,0,6,1,9,0,1,North East,2,5
C202600245,-1.51301,52.66922,01/06/2026,00:56,7,30,6,2,0,1,1,1,0,2,East Midlands,1,5
C202600246,-1.59662,54.94358,01/06/2026,00:56,3,70,3,0,0,6,8,1,0,1,North East,1,4
C202600247,-3.67577,51.18206,01/06/2026,00:56,6,30,3,4,5,1,3,1,0,1,South West,1,5
C202600248,-1.54476,53.88262,01/06/2026,00:57,6,70,5,2,0,1,1,1,0,1,Yorkshire,5,8
